Brief Description,Primary Cause,Hazardous Element,Initiating Mechanism,IM2,Pivotal Element 1,Pivotal Element 2,Pivotal Element 3,Activity Type,Potential Accident/Incidence,Potential Target,Potential Threat
"Md. Kismot of Union Roadway entered in works through HSM gate at 11:00am with his trailer . Took load (billet) at billet yard &amp; came on slag road, at about 11:53 pm he got exit paper &amp; was coming towards slag gate for exit. When he took turn left for going to gate side in the mean time an empty tip trailer # JH05BU3208 of M/s T &amp; Co. which entered through slag gate &amp; had to go WRP for taking load. Tip trailer came in wrong direction on the road through which only trailer was going towards gate. When tip trailer trying to cross the trailer from the left side. The left rear dala dashed with left side front portion of trailer. In this process front guard &amp; three Pc. Mirror of trailer got damaged",Vehicle Dashing,Driving vehicle,Driver error,,Bypass of safety systems,Contact with hazardous element,,Main Road,,,
"Dumper of M/S T &amp; Co bearing registration no.: was coming from WRP after unloading LD slag  and going to LD#2 for loading slag.On the way  after crossing LD#2 traffic signal  and near HML office turning it overtake a car (Reg No-)which was running ahead of the  dumper,during overtaking the dumper dashed to the car sidewise  from its right end  and in this incidence carâ??s right side rear bumper,headlight,both door &amp; bodyside outer got damaged.",Vehicle Dashing,Driving vehicle,Driver error,,Bypass of safety systems,Contact with hazardous element,,Main Road,,,
dust caused poor visiblity on the road which caused problem in maintaining safe distance from front running vehicles.,Poor Road Condition,Driving vehicle,Visibility/lighting issue,,Decision making ability impaired ,,,Main Road,1. vehicle dashing,1. property ,1. property damage
"While coming out of CB gate, near the first left turn a pipe leakage was there due to which lot of ash slurry came out on the road. The road becam,e very slushy and there are chances of skidding of two wheelers.",Slippary Pathway,Slippery surface,Malfunctioning equipment,,Creation of hazard prone environment,Unstable condition,,Main Road,1. skidding,1. human ,1. injury
A RD-126 has turned about 180degree on approach road of vii coal after slippery condition formed due to rain but there was no any miss happening occurred.,Slippary Pathway,Slippery surface,Poor housekeeping,,Creation of hazard prone environment,Unstable condition,,Other Roads,1. vehicle dashing,1. property ,1. property damage
A RD turned to about 180 degree on approach road of vii coal ash pond area due to skiddy condition formed on that road after rain.,Slippary Pathway,Slippery surface,Poor housekeeping,,Unstable Condition,Contact with hazardous element,,Other Roads,1. vehicle dashing,1. property ,1. property damage
"Mr. Hiralal Manjhi , P. No. 268643, MV driver was bringing the hywa YYYY from Washery #2 to Central garage for schedule maintenance. Near dewatering plant one two wheeler was coming from opposite direction in wrong side. To avoid the collision with two wheeler (bike) hywa hit the side wall. But no any injury taken place. ",Neglegent Driving,Driving vehicle,Driver error,,Bypass of safety systems,Contact with hazardous element,,Other Roads,,,
"on 8/10/17 in shift A Mr Sitaram 269418 was in operation of reject transportation truck YYYY . at about 7.30 am  . truck took load at washery-2 and carrying it to reject yard . while he was near the clean coal bunker area of washery-3 .  there was damaged road at one side (right side of road ie cc bunker side) , he choose his own side (left side ie washer-3 plant side) .truck  back wheel got slipped in loose soil and got in to to a small drain . truck wheel get out from drain by hook with another vehicle . there was no damage in truck as well as no injury to driver",Poor Road Condition,Road,Poor housekeeping,,Bypass of safety systems,Unstable condition,Contact with hazardous element,Main Road,,,
"       On dated 28.11.2017 at about 05:10 pm, near main gate on pedestrian walk way, while an TPL labor was coming out through , suddenly his leg was  fallen  into the small ditch( refer to attached_pics) and he lost his  balance but somehow managed to rescue himself.",Poor Road Condition,Pit/ditch,Poor housekeeping,,Unstable Condition,,,Other Roads,,,
"On dated 21.11.2017 at about 10:15 am, main gate security guard while going for checking of incoming vehicle, his right leg hit the newly shifted cabinâ??s stand and he lost his balance but somehow managed to rescue himself ",Carelessness,Structure/shed/building,Pedestrian error,,Contact with hazardous element,Unstable condition,,Main Road,,,
"On 24.11.17 at 06:00PM, customer vehicle of M/S XY was returning to WB-4 after loading of ferroshots  at IBMD sales yard . In the meantime administration  bolero of  M/S XY supplier was coming  opposite on the same road . While taking turn at  the road near MRP  area , both the vehicles touched with each other.",Vehicle Dashing,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,,,
an employee was going to office by his motor cycle due to water sprayed on the road his bikes skidded and hi got disbalanced . his clothes became dirty but no injury hapened to him. ,Slippary Pathway,Unbalanced vehicle,Poor housekeeping,,Unstable Condition,,,Main Road,,,
while turning towards road a car with very high speed crossed,Neglegent Driving,Driving vehicle,Driver error,,Creation of hazard prone environment,,,Main Road,1. vehicle dashing,1. property,1. property damage
"Water slurry accumulated near the bumper , makes the road unsafe and caused disbalancing of two wheeler vehicle , nothing happened as I was able to make my balance",Slippary Pathway,Unbalanced vehicle,Poor housekeeping,,Creation of hazard prone environment,Unstable condition,,Main Road,1. slipping,1. human 2. property 3. environment,1. injury 2. property damage
"At 10.30 am dumper was transporting malkera raw coal from malkera stock to hooper in this time one big size coal lump fall over the road .At that time no person were there, hence no any injury take place.",Obstructing/haphazardly placed objects,Unorganized/poorly placed objects,Falling objects,,Creation of hazard prone environment,,,Other Roads,1. coal lump fall over the road,1. property,1. property damage
On 10.02.18 in â??Bâ?? shift (at around 7:20pm) Hyva YYYY was going to take load of middling but before that due to high speed driver  Mr Surendra  hit the wall and damaged it from left side from the front of his hyva near middling stock yard. No injury Happened.,Vehicle Dashing,Driving vehicle,Driver error,,Bypass of safety systems,Contact with hazardous element,,Other Roads,,,
during  travelling one person hit the  boulders   but managed himself  in turning of road ,Neglegent Driving,Driving vehicle,Driver error,,Contact with hazardous element,Unstable condition,,Other Roads,,,
when I came from home near jogta sijua running in front of  sumo gold car suddenly take a break I back to coming from vechiel then after hited by sumo gold the vechiel is damage but no injury will happen.,Neglegent Driving,Driving vehicle,Pedestrian error,,Contact with hazardous element,,,Main Road,,,
Sijua to magazine pathway near sitla mandir water is flow(drain) over road breez the road is damage while any cucle driver and vechiel fall down,Poor Road Condition,Road,Improper maintenance,,Creation of hazard prone environment,,,Main Road,,,
closed railway phatak when one worker cross under phatak without look there and were running while train horn listening.,Carelessness,Driving vehicle,Pedestrian error,,Fouling/obstruction with hazardous element,,,Main Road,,,
"RD. 121 was deployed in coal shifting operation in ex-03. which was placed in viii-seam ravidastola. RD.121 has been shifted viii-coal from face to stock yard of coal hopper .At the end of shift mine associate (RD) was filling a burning smell in cabin. He had reported about the same incident to me. Then he come down from rd after stopped his RD. he also absorbed a flame near engine of RD &amp; reported me about same. mr. sanjit  singh RD mine associate  had charged portable fire extinguisher at fire flame &amp; quenched the fire forthwith. After quenching the fire, water sprinkler called for further treatment. At. about 1 PM , I again inspect the fire place among with shift in charge &amp; another mine associate  &amp; found there was no any injury or damages accorded &amp; RD was in running condition.  ",Poor Vehicle condition,Damaged equipment/road,Malfunctioning equipment,,Ignition,,,Other Roads,,,
"After safety timing the Driver was going to LD2 for steel jam loading from MRP. When he reached near LD2 Traffic signal he saw that 18 sec left and no other vehicle ahead of him, while crossing he saw excessive smoke coming out of his vehicle left side, so he was looking left side mirror, in this process his vehicle right rear wheel ran over the divider, he felt some jerk and he came to know that some divider were damaged, so he parked his dumper after crossing the signal in safe side",Neglegent Driving,Driving vehicle,Driver error,,Ignition,Inability to deploy safety systems,Contact with hazardous element,Main Road,,,
When the driver of dumper no YYYY was going out ward from new washery gate at the same time one motor cycle bickers suddenly passes over the main road  with high speed then dumper driver apply the brake and make the situation safe.,Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,collision,"property, person","injury,property damage"
The front left side wheel of Dumper no jh10bc 6167 was stuck with cavity formed over the road.The dumper get slightly incline. After that driver move the dumper back and make it safe.,Poor Road Condition,Pit/ditch,Poor housekeeping,,Unstable Condition,,,Other Roads,,,
"After loading of tailings from excavation of pond, dumper get sliding due to high slope of road. Slipping happens due wetly nature of surface.",Slippary Pathway,Slippery surface,Poor housekeeping,,Unstable Condition,,,Other Roads,,,
Tata power vehcle no YYYY  has damaged the drop gate at 4 mw area.The hanging chain of drop gate was got stuck with tirpal of dumper and chain got snatched.No any major incindence take place.,Neglegent Driving,Driving vehicle,Malfunctioning equipment,,Fouling/obstruction with hazardous element,,,Main Road,,,
"While coming to mega center office , near t point turning another biker crossed my car from wrong side at the turning .I applied brakes due to which nothing happened fortunately.",Neglegent Driving,Driving vehicle,Driver error,,Bypass of safety systems,Contact with hazardous element,,Main Road,collision,"property, person","property damage, injury"
One biker taken u turn suddenly  without putting indicator near Patel chowk and another who was coming from opposite side somehow managed to avoid dashing him. ,Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,collision,"property, person","property damage, injury"
On 15th June 17 at around 0930 pm Assignment Manager of M/S SIS  was returning from main gate to barrack . While returning when he enters in the pedestrian walkway his leg hit in the steel cover above the drainage  in the pathway . He  become unbalanced and  was about to fall but he kept the railing  beside and save himself .There was no injury to him.,Carelessness,Pit/ditch,Pedestrian error,,Unstable Condition,,,Other Roads,fall,person,injury
A display board was kept near the rod and there is chances of collision with any vehicle,Obstructing/haphazardly placed objects,Structure/shed/building,Improper design,,Contact with hazardous element,,,Other Roads,collision,property,property damage
"Logistics truck came near to bolero, when leaving 30 ton weigh bridge.",Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,collision,property,property damage
The bus (engaged for carrying employees to JEIM )was trying to move in reverse direction to park the bus in the parking place in front of Joda West ME school. While doing so the bus moved slightly to wards JCO turning and when it started moving in reverse direction one contractor supervisor who was on a bike and coming to wards VTC suddenly crossed the bus from its back.The Helper who was standing at the back side of the bus to give signal to the driver shouted at the driver to stop. The biker narrowly escaped . The contractor supervisor was found without crash helmet . He was called to the civil office and advised about safe driving in the presence of three J.Es of civil.,Neglegent Driving,Driving vehicle,Miscommunication,,Improper deployment of safety systems,Contact with hazardous element,,Main Road,ran over,person,injury
Huge muck and algae has come up on the open pathways and passage which is used by children and family members. Because of it becoming slippery yesterday found a maid slipping and a child tripping.,Slippary Pathway,Slippery surface,Poor housekeeping,,Unstable Condition,,,Other Roads,slip/trip/fall,person,injury
A hywa was coming down after taking load from upper stock yard and other empty hywa was coming up for taking load. When the down coming hywa applied brake than due to slippery condition(Because of rain) it started skidding and stuck the side fencing.. As fencing is strong so nothing happened and hywa stopped with touching fencing..,Slippary Pathway,Slippery surface,Poor housekeeping,,Improper deployment of safety systems,Unstable condition,,Other Roads,,,
"Boulders were transported by M/s XY & Bros who is engaged for Height Raising of CWS Slime Dam job. At 11.45 hrs. One Hywa bearing Redg No  ,carrying Boulders was standing at outside of DVC Main Gate . He put the vehicle on upgradient surface.There was no helper in the Hywa. Driver Mr Nick Bhuinya, DL No : ,  got down from the vehicle with applying the perking Brake for verifying the challan to security. Person. After a few minutes, the Hywa started slowely moving downward and hit the tree.",Carelessness,Driving vehicle,Driver error,,Improper deployment of safety systems,Unstable condition,,Main Road,,,
"A fire happened in the hose pipe due to over heat in the self starter , it spark and caught fire in Hywa No , Which was carrying middling coal from wash Plant to Chainpur by M/S XY ( Driver Name : Mr. Surendra Mahato , Licence No : .Due to sickness of wire there was a Short circuit happened in Hywa , causes leakage of oil from hose pipe which caused Teak oil, it caught fire after using of fire extinguisher the fire was control . There was no any heavy damage found.  ",Poor Vehicle condition,Damaged equipment/road,Malfunctioning equipment,,Ignition,,,Other Roads,,,
Two small size boulder had rolled down at RAVIDAS TOLA VII OB face approach road just  before reach a light vehicle in same road. After removing Rolling Boulder the same site I instructed to light vehicle road to use the same road.ACTION-A Dz engaged for reducing the height from which rolling material rolled down and made safe for future . ,Falling object,Dropped/rolling object,Falling objects,,Fouling/obstruction with hazardous element,,,Other Roads,,,
School bus was coming from 12 No. Chowk towards Rajeev Nagar turning a bike tried to overtake bus from Right Hand Side and was about to hit the car coming from other direction but both of them applied sudden break and avoid collision.,Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,collision,"person, property","injury, property damage"
One dumper carrying coal from washery complex to qlc complex bearing regd no YYYY was found plying with only right side head light on. The Hyva was stopped and the driver was asked to check the light. He said there may be some loose connection. He did something in the cabin and both the lights started.,Poor Vehicle condition,Damaged equipment/road,Malfunctioning equipment,,Bypass of safety systems,Contact with hazardous element,,Main Road,hit/collision,property,property damage
"While cutting of Track Rope of EF ropeway between the Protection bridge at Old account office area, local residents are moving there to see the dismantling process and during that time  after cutting , track rope rest on the surface. No any injury or harm occurred.",Obstructing/haphazardly placed objects,Unorganized/poorly placed objects,Carelessness,,Fouling/obstruction with hazardous element,,,Main Road,slip/trip/fall,person,injury
Coal spillage on the road near Washery # 3 Middling stockpile leading to skidding of Two wheeler. The piling was generated due to spillage of coal from the dumper and continuous rain.,Obstructing/haphazardly placed objects,Unorganized/poorly placed objects,Poor housekeeping,,Creation of hazard prone environment,,,Other Roads,,,
"Hywa found slip near the Tower No-22 &amp; Tower -21 of BCR  during clean coal transportation during BCR S/D , since road found with muddy soil over the road.",Slippary Pathway,Slippery surface,Poor housekeeping,,Creation of hazard prone environment,Unstable condition,,Main Road,slip,property,property damage
"On the heavy vehicle road connecting washery to reject yard, a iron rod is coming out of the cemented road. There are chances that the rod may damage the bottom part of the moving vehicle moving over it and cause equipment damage.",Poor Road Condition,Protruding/sharp objects,Improper maintenance,,Fouling/obstruction with hazardous element,,,Other Roads,hit the bottom of vehicle,property,property damage
Trailers containing  goods were parked on the road. It makes the road congested and vehicle passing both ways can have a head-on collision.,Improper placement of hazardous equipment,Fouling/obstructing object/equipment,Poor housekeeping,,Creation of hazard prone environment,Contact with hazardous element,,Main Road,collision,property,property damage
The TSL grader while cleaning the heavy vehicle road moved inside the cemented road of NRD and broken the barricade of the pedestrian pathway.,Neglegent Driving,Driving vehicle,Driver error,,Contact with hazardous element,,,Other Roads,,,
I left Admin Building to visit JRDTTC at around 3:00 PM. As soon as I drove on the road outside the exit gate of admin building a vehicle of dark gray colour passed in speed from my front. I pressed the brake and turned my vehicle sharp to prevent collision. There should be loose barricading outside gate to restrict drivers to follow their own way. ,Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,collision,property,property damage
Customer Vehicle no YYYY loaded with Tailings while returning for gross weighment after test weighment from Karmanala dump dashed into another customer vehicle no YYYY loaded with rejection owing to slippery condition of road. Drivers cabin of tailing vehicle got damaged.,Neglegent Driving,Driving vehicle,Driver error,,Inability to deploy safety systems,Contact with hazardous element,,Other Roads,,,
One motor bike was coming from Pcp # 2 to Bokaro  River bridge. Suddenly he fall on road because the Road bump overlooked by him.,Neglegent Driving,Unbalanced vehicle,Improper assessment of situation,,Decision making ability impaired ,Unstable condition,,Other Roads,,,
"Traveler, which is used for pick and drop officers to ramgarh, was parked on a slope with handbrakes on. Driver is not available",Rule violation,Vehicle in improper configuration,Carelessness,,Bypass of safety systems,Unstable condition,,Other Roads,fall,property,property damage
"While coming from PCP3 site, at the turning of Rajiv Nagar Chawk, one motor bike was coming in the wrong direction and in a high speed. He was about to collide with our car, however, it was avoided. ",Neglegent Driving,Driving vehicle,Driver error,,Contact with hazardous element,,,Other Roads,collision,"property, person","property damage, injury"
"while walking on the road, feet of Mr. Umesh (Structural supervisor) of M/s BTL stucks in slushy road for a moment. He may got injured, however nothing happened.",Slippary Pathway,Slippery surface,Poor housekeeping,,Unstable Condition,Contact with hazardous element,,Other Roads,,,
"one trailor was engaged in transportation of material from old store to PCP 3 site. However, during transportation, material slipped and fell down, however no damage happened",Falling object,Dropped/rolling object,Poor housekeeping,,Detachment of hazardous element,,,Other Roads,,,
"The car and sumo was coming from Diamond crossing toward CIP Traffic signal, the timer of the signal was not functioning and the green light suddenly changed to Red. The car was moving ahead , as the signal turned red, the car applied brake and the sumo coming from behind also took sudden brake but it dashed with the car. No injury only car and sumo got damaged. Medical examination of the sumo driver was done and was fit for duty.",Vehicle Dashing,Driving vehicle,Driver error,,Creation of hazard prone environment,Inability to deploy safety systems,Contact with hazardous element,Main Road,,,
"when CO gas in increased at Peripheral road in and around LD2, the online detectors hooter nt worked, even the CO ppm reached at 300ppm",Rule violation,Gas,Malfunctioning equipment,,Creation of hazard prone environment,,,Main Road,,person,injury
F15 of southern construction getiing back without flag man from the fabrication site.One car was  going on approaching road.The F15 about to hit the car nearly by a distance of 2 miters.,Carelessness,Driving vehicle,Miscommunication,,Bypass of safety systems,Contact with hazardous element,,Other Roads,hit,property,property damage
"JCB of m/s XY enterprises dashed with car of Supervisor of M/s Technocrats going to FMD gas line inspection office. JCB was under Engg services working at FMD fabrication yard, which entering into the road it dashed with the car coming from right side of the road. Both the party escaped from the site, the car tried to get out of works from Burmamines gate where it was stopped by Security persons and JCB also got engaged in other job.",Vehicle Dashing,Driving vehicle,Driver error,,Bypass of safety systems,Contact with hazardous element,,Other Roads,,,
Vehicles do not stop or slows down on zebra crossing before light signal . It stops on the last zebra crossing.,,Driving vehicle,SOP violation,,Bypass of safety systems,Contact with hazardous element,,Main Road,run over,person,injury
"He was coming from Power house#3 and going to Business centre for a meeting, when he reached near central store , he lost control over his car and hit a Tata Ace from back which was parked beside road , in front of Jute godown. He was taken to WPFA and then referred to TMH.The party could not recall what happened.",Vehicle Dashing,Driving vehicle,Driver error,,Hazardous element out of control,Contact with hazardous element,,Main Road,,,
"I was driving my car, suddenly the bike in front  of me stopped to turn other side. I too stopped immediately to avoid any contact. As a result the bike behind me slightly hit at the back of my car.",Neglegent Driving,Driving vehicle,SOP violation,,Inability to deploy safety systems,Contact with hazardous element,,Main Road,,,
"Mr.C.V .Sastry ,MD, of XY was waiting for the signal to turn green at LD#2 Traffic signal in his car .Mr Ashutosh Prasad , P.No. 151268, Sr.Manager, Electrical ( T&amp;D) who  wascoming just behind in his car dashed to the car of Mr. C V Sastry from backside. In this process, the parking sensor of the car of Mr. C V Sastry got damaged. No any injury reported.",Vehicle Dashing,Driving vehicle,Driver error,,Contact with hazardous element,,,Main Road,,,
"We were about to takeout testing sets for outside plant job from HSM material gate. But approach road was heavily loaded so we have followed other road which was an one way road. Al though nothing has happened , but  being one way , this action was a potential LTI incident.  ",Poor Road Condition,Driving vehicle,SOP violation,,Creation of hazard prone environment,Contact with hazardous element,,Other Roads,collision,property,property damage
"Outside IBF LBSS substation, one street light pole with solar panel fell down during storm. At around 03:40 PM, IBF IEM person informed GPSS shift to take necessary action.  There was no injury. Later, the pole was removed from road after detatching main portion of pole.",High Speed,Dropped/rolling object,Falling objects,,Contact with hazardous element,,,Other Roads,,,
"Mr Arjun Prasad was coming to office side from maingate on bike,while coming he lost his balanced of bike but could managed to regain the balanced. He could avoid falling of  himself in the process  but his bike fall on road",Poor Road Condition,Unbalanced vehicle,Driver error,,Unstable Condition,Contact with hazardous element,,Main Road,skid/slip,person,injury
"Today, when I was coming back to my W#2 office from colony after having my lunch at 2:55pm near Washery #2 pretreatment section area suddenly one hywa came near my car from my right side of the road which was completely hidden due to wall. Immediately I stopped my car and slowly moved ahead from taking pass from left side of the road. This could have lead to an accident as there was only 2meter distance left between my car and that hywa. Main cause for this incident , there were no tag nor any sign board mentioned regarding the progress of civil road construction work  and very small place of turn due to half of road under construction.Some signage and display mentioning the words work in progress , go slow , Speed limit 10km/h, turn ahead ,or hard barricading /breaker may be use to avoid any such incident in future.",Poor Road Condition,,,,,,,Other Roads,hit,"property, person","property damage, injury"
Truck No. JH 02 W 8719 skid and bended barricading of road sise,Slippary Pathway,,,,,,,Other Roads,,,
"Mr. Ravi Kumar, age 35 yrs, was coming to B shift duty. In the event of parking his bike near Mechanical store, SP4 (which is temporary parking owing to SP4 MSD) dashed to another bike and fell down. As reported by him the other bike driver was looking backwards which led to this incident. He was rushed to West plant first aid. Doctor after giving him pain killer and Ice pack declared him fit for duty. ",Neglegent Driving,,,,,,,Other Roads,,,
"Mr S P Verma , P.N.- 118866,  was coming in Blower House=3 for meeting  purpose and for keeping his car reg nos.-JH05 AG 3271, in take-off position, he was reversing the car at that time he dashed the Bike of Mr Nasim Akhtar, P N-  504655.No any injury,only bike both indicator becomes damage.",Vehicle Dashing,,,,,,,Other Roads,,,
"Mr. Vivek was in â??Dâ?? shift duty on 28.04.2018. After lunch he was coming to attend duty from home Block No. :-136/2/2, road No. :- 12, Adityapur-1 on his car bearing registration no. :-  He entered inside plant from PH#3 gate and after crossing cabin#4 he took left turn to go to NBM, 15 meter from turning there is a height barrier, Mr. vivek car accidently dashed this height barrierâ??s left side pillar wall . No injury took place ,but carâ??s left side front wheel and lower body got badly damaged.",Neglegent Driving,,,,,,,Main Road,,,
"Mr P.K Basu was coming from WGO and had to go outside works through Main gate to attend General Dialogue at Loyola School, when he reached near Engineering services, in the mean time a truck coming from procurement and had to go to HSM for exit, the car collided with the truck, in this collision no injury took place and car right rear side got badly damaged. Truck driver Medical test was done at WPFA found normal. ",Vehicle Dashing,,,,,,,Main Road,,,
"Miler # JH05AH1201 of R.K.Construction  was  coming from PH # 4 after unloading concrete material &amp; had to go burmamines for taking load. On the way near LD gas holder signal was red, so driver stop his vehicle . when signal changed red to green, all vehicle start proceeding, Atv the same time a car YYYY of Mr. A.K.Karmakr,P.No : 118118, FM ( Elec.) was also moving the parallel of miller. After moving some distance carâ??s steering  turn towards right side &amp; came infront of miller. Miller driver applied brake, but it pushed the car about 5-7 mtr. No injury reported",Vehicle Dashing,,,,,,,Main Road,,,
one vehicle was about to slip due to water on road,Slippary Pathway,,,,,,,Other Roads,slip/trip/fall,"person, property","injury, property damage"
One vehicle was about to loose his balance due to water on the road,Slippary Pathway,,,,,,,Other Roads,slip/trip/fall,"person, property","injury, property damage"
"During load testing of Hoist, the test load was being hoisted by omEGA crane up to the 3rd floor of the building.In the process, the eye of the test load grazed against the hand railing of the building.",,,,,,,,Other Roads,,,
"While stopping at the LD signal near LD1 , the bike tyre skidded slightly due to accumulation of slag on the road",Poor Road Condition,,,,,,,Main Road,skidding of tyre,"person, property","injury, property damage"
"A tata Ace was standing near LD2 road as Loco was crossing , and a trailer was ahead of the tata ace also waiting for the loco to cross. There was around 4-5 feet space on the left side of the Tata Ace . Till then a truck wanted to cross the Tata ace from left side in which the truck dashed with the left portion of the tata ace and damaged it and due to sudden force the tata ace moved forward and its front portion dashed with the trailer standing infront of the Tata ace. No injury took place only the tata ace got damaged.Alcohol test was done at site for both the drivers and found ok. ",Vehicle Dashing,,,,,,,Main Road,,,
"Mr. Sunil Kumar Sharma (P NO 129066 age 51 years) of Field Maintenance Electrical, HT   was on D shift duty and was on his way to Tower 30 office . He has marked his in punch at SHE excellence center at 07:56 AM. Near L town gate he collided with another bike and fell down as he could not judge that the bike ahead of him would take a left turn. He felt pain near toes of his right leg. He attended west plant first aid where doctor declared fit for duty after preliminary treatment.",Vehicle Dashing,,,,,,,Main Road,,,
"On 29.07.2017 at around 6.15 pm we got information from security that fire is observed near the Street Light Pole base (Pole No. 45/10)which is actually located at the corner on the way from trailer parking to East marshalling Yard office. It was at the east side of adjacent railway Track line and covered by wild bushes.Our people immediately reached there and found that fire has already been distinguished by Fire Brigade people. On check they found that the power is tripped off from incoming MCB which is at switch room near EMY office. As a precaution, they have also put off the SFU unit. ",Poor Road Condition,,,,,,,Other Roads,,,
"At around 5.50 PM on 05.04.17, we got phone call from Safety personnel that above mentioned street light pole broken from its base and had fallen on road. After getting information, S&amp;T teams rushed there and remove the pole from road. There was no effect on road lighting.",Poor Road Condition,,,,,,,Main Road,,,
"On 17.7.2016, C-shift ,FM IM CP section  staff were assigned a  job to facilitate the marching of FMC crane on the road beside  the tunnel of N-road gate.  They were using Tata Xenon ( Hired vehicle) to reach at the job site. At around 1:30 am  One of our employee is driving the vehicle in place of driver moving towards N-road gate. He like to stop the vehicle so tends to apply brake, but by mistake accelerator is pressed and vehicle dashed with the boundary wall near Tunnel gate. Fortunately no any injury to any person, but It causes a damage to front left side head light glass. ",Neglegent Driving,,,,,,,Other Roads,,,
"Miss Anita Thapa P. No. 505551 has taken gate pass and going out of section by her car Nano Regn. No. YYYY towards west marshalling yard road. while going out on main road her car slightly touched with another vehicle (crane F-15 of N Kumar &amp; Co.). Nothing happened to car or crane, only the front right tyre of car got punctured by touching of corner portion of crane. ",Vehicle Dashing,,,,,,,Other Roads,,,
"he was coming from Burma mines Go down &amp; going towards WRM.During this near MSG,MECH Section road the steering get jam.then he turned his vehicle &amp; hit the barrication of the road.barrication got damaged. Car front portion damaged. No injury.",Vehicle Dashing,,,,,,,Main Road,,,
"KAMAG(No-821) carring empty laddle was going to LD3TSCR from LD2-SMLP, there was 100T crane of KRUPP make under FMM Department (No - YYYY) parked right side of the road( which is already narrow due to barrication done by Engg &amp; Project inventory. while KAMAG was half passed the crane, driver noticed car parked in left would get damaged so he reversed the KAMAG back and in due course it dashed with left side of the crane.",Vehicle Dashing,,,,,,,Other Roads,,,
"M/S XY employee Mr. Samir Kumar Das was going home from back side main road of MED M office , due to heavy vechile movement he was walking in footh path which was cover with drain pit &amp; he was going to fall down due to drain pit tilted when he step on.",Slip /trip /fall,,,,,,,Main Road,slip/trip,person,injury
MD.  SHABBIR in his motorcycle  did not follow the signal of the loco ground crew member,Neglegent Driving,,,,,,,Main Road,,,
"Mr. Swamy was going his home â??Oâ??  road Bistupur after completing his â??Dâ?? shift duty from RMBB#1 Mechanical Maintenance section.Near CIP traffic signal  while he was taking turn towards his left side to go Blower House#4 road ,his bike bearing Reg.No got skidded  and he fell down on the road and sustain injury in his right leg.He is fit for duty.WPFA injury Detail :- Abrasion(1â??â??x1/2â??â??) Right leg",Neglegent Driving,,,,,,,Main Road,,,
one person was walking on left side of road and the truck after loading fines passed close to him and the person in a hurry ran to a safe place. the driver did not blow horn and there was a mobile compressor on road,Neglegent Driving,,,,,,,Other Roads,ran over,person,injury
"Mr .S. Sarkar had parked his car (not in ready to take Off position) in  the designated parking place of Mr. Alok Krishna  at corporate office parking. While he was reversing his car to come out of the Parking , Mr.Chakraborty  was  also reversing his car to park at his allotted designated parking adjacent to it.In the process,the rear right side of the car of Mr. S . Sarkar  dashed to the  rear right door of the car of Mr. Ujjal Chakraborty.The rear door of Mr Chakraborty car &amp; window glass badly damaged.no any injury.",Vehicle Dashing,,,,,,,Main Road,,,
"Today at about 12.40 pm an LTI incident happened to Mr. S. Hazra of IMMM, Coke Plant. While parking his two wheeler in the parking area beside Old Coke Plant Office. He was coming back to plant after completing some personal work outside, after placing his bike in the parking area, he put the side stand, but it was not opened properly &amp; the bike fell on him, resulting fall of him on the adjacent bike causing injury. He was taken to the first aid &amp; referred to TMH. Later he was admitted there.",Poor Vehicle condition,,,,,,,Other Roads,,,
Air borne dust during sweeping by automated machine cause of road accident and First aid,Poor Road Condition,,,,,,,Main Road,hit/collision,"property, person","property damage, injury"
at around 11:35AM mr.Shyamendra Kumar was going home on his car bearing registration no. ;- YYYY from plant when he was crossing main gate in the mean time mr. Uma shanker Singh came from EMP. beurow side on his car bearing registration no. :- and tried to cross the road from wrong side and collided with mr. shyamendra car. no injury only mr. Shyamendra kumar car got damaged.,Vehicle Dashing,,,,,,,Main Road,,,
At the railway crossing of pellet plant the illumination is less and that time one dumper is coming from opposit end which has only one head light and looks like two wheeler and it comes very close which can creat any firstaid case.Illumination at that point to be increased,Poor Road Condition,,,,,,,Main Road,hit,person,injury
"the bar is exposed and coming out from concrete while going there for inspection a bar of approx 400mm has been  exposed , there is chances of getting stuck and chances of tyre damages and a falling hazard.",Poor Road Condition,,,,,,,Main Road,strucking of tyre,property,property damage
"During  return to home after duty , A car was on the way to  Jugsalai Gate while I was going towards N-road gate. By misunderstanding I was about to dash to the car but somehow I managed to  slow and stopped my bike.",Vehicle Dashing,,,,,,,Main Road,collision,"property, person","injury, property damage"
"Material  mix up in the open rack store area of roll shop observes , may leads to severe slip trip fall injury.Needs immediate attension of house keeping and 1S , 2S &amp; 5S. ",,,,,,,,Other Roads,slip/trip/fall,person,injury
